name,navid,apple-place-id,google-place-id
Keller Hall,kh4,I4AAD42D51D676512,
Mechanical Engineering,me2,I7731A385D5E34420,
Tate Hall,thSB,IC65A869BBB9FBFDE,
Amundson Hall,ahB,I352AA97CA2938D16,
Rapson Hall,rh2,I75A66CD7C838950B,
Lind Hall,lh2,ICF2EE6572059F740,
Civil Engineering,ce2,I755AD13D3179EA0D,
Shepherd Labs,sl2,I2338D64245D147ED,
Akerman Hall,2,I7FB78D6032CDEB7E,
Murphy Hall,mrphB,I4E19EAFFC53BAF7C,
Vincent Hall,vh2,ID78FC8E8F3FA7999,
Ford Hall,fordB,ID825D3FB447B9A94,
Morrill Hall,mrllG,I9EEFCF225E20731F,
Northrop Garage,norgra,IECE395636EBB79DC,
Northrop,norB,I962A7F58EF9C0FE9,
Johnston Hall,johnB,I2C72F17ED71A131A,
Walter Library,waltB,I45D7C93CC1BF136,
Smith Hall,smthB,I95DF8F3700FDC079,
Kolthoff Hall,klth1,I6DB50F976DBF7026,
Church Street Garage,chstgr,IECE395636EBB79DC,
Pillsbury Hall,pillB,ID6184423669385EC,
Williamson Hall,will2,IA11FFE326233D781,
Nolte Center,noltB,I9984182F7D66396,
Jones Hall,jonesT,IA04F941EC526A1EE,
Nolte Center Garage,nolGra,ID8FA874376124BE7,
10 Church St,10chust,IFAFB826B454E2448,
Folwell Hall,folwel,I4A735A157424D6F8,
Coffman Memorial Union,coffmanG,IB67A8AA6D47D6D3D,
East River Road Garage,eastRivRdA,I6CB88BAA828F59C2,
Hasselmo Hall,hass1,IC0519DFDCD423F39,
Boynton Health Service,boynton2,I1A6AEDFEE042BFF6,
Jackson Hall,jackson4,I77923C0F46D303A2,
Mayo Building & Additions,mayo1,IEDA0D519160BC2D5,
Masonic Cancer Research Building,masCan3,I46EE752E66F718E1,
Variety Club Research Center,variety4,IC96D1E90B4DD229D,
Children's Rehabilitation Center,child1,I66338628F9DEB74B,
Molecular & Cellualar Biology,molecule3,I4E90B7C0991787B0,
Moos Tower,moos2,ID6C962F8D0EDF9A5,
Philips-Wangensteen Building,pwb2,IDBB2A8D24E5E9BD8,
Diehl Hall,diehl2,I1FA81AA795FFB1D7,
Fairview Medical Center,fairview1,I7D1191A9F3C9977B,
Health Sciences Education Center,hsec2,I517837300F788F1F,
Weaver-Densford Hall,weaver2,I40DE06468BB624ED,
Washington Avenue Ramp,washRamp3,IE27FE75364E4B721,
"Parking, Transportation, & Safety Building",pts2,IB27382195201DBF0,
Graduate Hotel,graddy2,I9D2E206B63271DA9,
McNamara Alumni Center,mcnamaraB,IA641F4E52ADDCD93,
University Avenue Ramp,universityRampB,I905B8291ED9A1257,
Hospital Patient & Visitor Ramp,hospitalRamp,I72F3715184DB8E0D,